geometry,latitude,longitude,cod_evento,circoscriz,data_event,causa,tipologia,civico_eve,cod_via,denominazi,x,y
"{""type"":""Point"",""coordinates"":[655787.851,4551179.724]}",4551179.724,655787.851,153,2,30/04/2017,tombino,caduta pedone,,720012153,VIA CAMILLO ROSALBA,655787.851,4551179.724
"{""type"":""Point"",""coordinates"":[650728.498,4553490.05]}",4553490.05,650728.498,154,3,29/05/2017,dissesto marciapiede,caduta pedone,,700021163,VIA CAMPANIA,650728.498,4553490.05
"{""type"":""Point"",""coordinates"":[650783.799,4553486.169]}",4553486.169,650783.799,155,3,08/05/2017,dissesto marciapiede,caduta pedone,8,700021163,VIA CAMPANIA,650783.799,4553486.169
"{""type"":""Point"",""coordinates"":[647868.007,4557169.297]}",4557169.297,647868.007,158,5,24/02/2017,tombino,caduta pedone,,720010579,VIA CAPUTO,647868.007,4557169.297
"{""type"":""Point"",""coordinates"":[647868.007,4557169.297]}",4557169.297,647868.007,159,5,08/04/2017,dissesto manto stradale,caduta con velocipede,,720010579,VIA CAPUTO,647868.007,4557169.297
"{""type"":""Point"",""coordinates"":[647126.207,4558381.579]}",4558381.579,647126.207,162,2,22/02/2017,dissesto marciapiede,caduta pedone,117,700022187,VIA CARNIA,647126.207,4558381.579
"{""type"":""Point"",""coordinates"":[655873.361,4548258.85]}",4548258.85,655873.361,163,4,12/08/2017,altro - caduta massi,danni auto,,700021332,VIA CASCIA,655873.361,4548258.85
"{""type"":""Point"",""coordinates"":[650557.386,4554085.2]}",4554085.2,650557.386,165,3,30/05/2017,dissesto marciapiede,caduta pedone,,720010540,VIA CORRADO GIAQUINTO,650557.386,4554085.2
"{""type"":""Point"",""coordinates"":[656683.118,4553952.981]}",4553952.981,656683.118,166,1,05/05/2017,dissesto marciapiede,caduta pedone,150,700021434,VIA DANTE ALIGHIERI,656683.118,4553952.981
"{""type"":""Point"",""coordinates"":[657096.391,4554008.715]}",4554008.715,657096.391,167,1,02/02/2017,cane randagio,caduta pedone,19,700021434,VIA DANTE ALIGHIERI,657096.391,4554008.715
"{""type"":""Point"",""coordinates"":[655212.059,4544796.251]}",4544796.251,655212.059,168,1,16/02/2017,dissesto manto stradale,caduta pedone,52/N,700021655,VIA DANTE ALIGHIERI,655212.059,4544796.251
"{""type"":""Point"",""coordinates"":[657075.115,4553992.836]}",4553992.836,657075.115,169,1,13/06/2017,dissesto manto stradale,caduta pedone,32,700021434,VIA DANTE ALIGHIERI,657075.115,4553992.836
"{""type"":""Point"",""coordinates"":[656030.059,4553902.294]}",4553902.294,656030.059,170,1,11/08/2017,altro - grata,caduta pedone,367,700021434,VIA DANTE ALIGHIERI,656030.059,4553902.294
"{""type"":""Point"",""coordinates"":[656587.94,4553956.637]}",4553956.637,656587.94,171,1,04/09/2017,dissesto marciapiede,caduta pedone,173,700021434,VIA DANTE ALIGHIERI,656587.94,4553956.637
"{""type"":""Point"",""coordinates"":[656030.059,4553902.294]}",4553902.294,656030.059,172,1,27/06/2017,altro - grata,caduta pedone,367,700021434,VIA DANTE ALIGHIERI,656030.059,4553902.294
"{""type"":""Point"",""coordinates"":[655678.298,4553854.715]}",4553854.715,655678.298,173,1,14/10/2017,dissesto marciapiede,caduta pedone,508,700021434,VIA DANTE ALIGHIERI,655678.298,4553854.715
"{""type"":""Point"",""coordinates"":[655313.016,4554432.824]}",4554432.824,655313.016,174,1,01/03/2017,altro - lavori,caduta pedone,15/E,700022792,VIA DAVIDE LOPEZ,655313.016,4554432.824
"{""type"":""Point"",""coordinates"":[656614.757,4553999.388]}",4553999.388,656614.757,175,1,21/04/2017,dissesto manto stradale,caduta pedone,110,720011146,VIA DE ROSSI,656614.757,4553999.388
"{""type"":""Point"",""coordinates"":[659314.706,4552435.372]}",4552435.372,659314.706,177,1,13/03/2017,dissesto marciapiede,caduta pedone,,700021101,VIA DEI CADUTI PARTIGIANI,659314.706,4552435.372
"{""type"":""Point"",""coordinates"":[657341.889,4552083.654]}",4552083.654,657341.889,179,2,06/07/2017,altro - giostra,altro - danni fisici,,700022229,VIA DELLA COSTITUENTE,657341.889,4552083.654
"{""type"":""Point"",""coordinates"":[645701.443,4556719.57]}",4556719.57,645701.443,181,5,14/07/2017,dissesto marciapiede,caduta pedone,54/A,700021722,VIA DELLA SALUTE,645701.443,4556719.57
"{""type"":""Point"",""coordinates"":[657973.151,4551499.51]}",4551499.51,657973.151,183,2,04/09/2017,dissesto marciapiede,caduta pedone,,720010365,VIA DEMETRIO MARIN,657973.151,4551499.51
"{""type"":""Point"",""coordinates"":[654241.521,4554676.014]}",4554676.014,654241.521,184,3,27/02/2017,dissesto marciapiede,caduta pedone,,720010196,VIA DI MARATONA,654241.521,4554676.014
"{""type"":""Point"",""coordinates"":[657686.297,4553603.21]}",4553603.21,657686.297,185,1,28/01/2017,dissesto manto stradale,caduta pedone,34,720012060,VIA DIETA DI BARI,657686.297,4553603.21
"{""type"":""Point"",""coordinates"":[656624.765,4553724.44]}",4553724.44,656624.765,186,1,24/03/2017,dissesto manto stradale,caduta pedone,,720011146,VIA DE ROSSI,656624.765,4553724.44
"{""type"":""Point"",""coordinates"":[655505.178,4553781.63]}",4553781.63,655505.178,188,1,11/03/2017,dissesto manto stradale,caduta pedone,,720010528,VIA DOMENICO NICOLAI,655505.178,4553781.63
"{""type"":""Point"",""coordinates"":[655505.178,4553781.63]}",4553781.63,655505.178,189,1,29/03/2017,dissesto marciapiede,caduta pedone,,720010528,VIA DOMENICO NICOLAI,655505.178,4553781.63
"{""type"":""Point"",""coordinates"":[655505.178,4553781.63]}",4553781.63,655505.178,190,1,16/06/2017,altro - olio,caduta con ciclomotore,,720010528,VIA DOMENICO NICOLAI,655505.178,4553781.63
"{""type"":""Point"",""coordinates"":[655505.178,4553781.63]}",4553781.63,655505.178,191,1,16/06/2017,altro - olio,caduta con ciclomotore,,720010528,VIA DOMENICO NICOLAI,655505.178,4553781.63
