geometry,latitude,longitude,cod_evento,circoscriz,data_event,causa,tipologia,civico_eve,cod_via,denominazi,x,y
"{""type"":""Point"",""coordinates"":[650717.441,4553443.7]}",4553443.7,650717.441,281,3,20/02/2017,dissesto marciapiede,caduta pedone,,700022380,VIA LATINA,650717.441,4553443.7
"{""type"":""Point"",""coordinates"":[647387.385,4557096.764]}",4557096.764,647387.385,282,5,06/11/2017,tombino,danni auto,1/F,720011354,VIA LEONARDO DEL TURCO,647387.385,4557096.764
"{""type"":""Point"",""coordinates"":[647365.88,4557074.692]}",4557074.692,647365.88,283,5,24/10/2017,ostacolo - transenna,danni auto,2,720011354,VIA LEONARDO DEL TURCO,647365.88,4557074.692
"{""type"":""Point"",""coordinates"":[656380.322,4549770.37]}",4549770.37,656380.322,284,4,17/05/2017,altro - detriti,danni auto,2,700021532,VIA LUIGI RANIERI,656380.322,4549770.37
"{""type"":""Point"",""coordinates"":[658763.631,4553025.73]}",4553025.73,658763.631,285,1,25/06/2017,dissesto marciapiede,caduta pedone,8,700022721,VIA MADRE CLELIA MERLONI,658763.631,4553025.73
"{""type"":""Point"",""coordinates"":[651131.609,4553164.29]}",4553164.29,651131.609,286,3,16/08/2017,altro - brecciolina,caduta con motociclo,,720012040,VIALE MAESTRI DEL LAVORO,651131.609,4553164.29
"{""type"":""Point"",""coordinates"":[651131.609,4553164.29]}",4553164.29,651131.609,287,3,16/08/2017,altro - brecciolina,caduta con motociclo,,720012040,VIALE MAESTRI DEL LAVORO,651131.609,4553164.29
"{""type"":""Point"",""coordinates"":[651131.609,4553164.29]}",4553164.29,651131.609,288,3,16/08/2017,altro - brecciolina,caduta con motociclo,,720012040,VIALE MAESTRI DEL LAVORO,651131.609,4553164.29
"{""type"":""Point"",""coordinates"":[655883.567,4554244.479]}",4554244.479,655883.567,289,1,07/09/2017,dissesto marciapiede,caduta pedone,1,700022700,VIA MAGGIORE DOMENICO TURITTO,655883.567,4554244.479
"{""type"":""Point"",""coordinates"":[655883.567,4554244.479]}",4554244.479,655883.567,290,1,16/05/2017,dissesto marciapiede,caduta pedone,19,700022700,VIA MAGGIORE DOMENICO TURITTO,655883.567,4554244.479
"{""type"":""Point"",""coordinates"":[658939.004,4553152.02]}",4553152.02,658939.004,291,1,21/03/2017,dissesto manto stradale,caduta pedone,31,720011869,VIA MAGNA GRECIA,658939.004,4553152.02
"{""type"":""Point"",""coordinates"":[656667.66,4554287.249]}",4554287.249,656667.66,292,1,30/09/2017,dissesto manto stradale,caduta pedone,33,700021602,VIA MARCHESE DI MONTRONE,656667.66,4554287.249
"{""type"":""Point"",""coordinates"":[658748.154,4553313.64]}",4553313.64,658748.154,294,1,04/05/2017,dissesto manto stradale,caduta pedone,26,700021551,VIA MARIO E SEVERINA DE LILLA,658748.154,4553313.64
"{""type"":""Point"",""coordinates"":[655317.328,4553832.821]}",4553832.821,655317.328,295,1,02/07/2017,dissesto manto stradale,caduta pedone,,700022636,VIA MARIO PAGANO,655317.328,4553832.821
"{""type"":""Point"",""coordinates"":[656292.603,4551575.8]}",4551575.8,656292.603,296,2,03/03/2017,dissesto manto stradale,caduta pedone,41,720011864,VIA MARTIN LUTHER KING,656292.603,4551575.8
"{""type"":""Point"",""coordinates"":[657133.224,4553816.781]}",4553816.781,657133.224,297,1,01/02/2017,dissesto marciapiede,caduta pedone,186,700021231,VIA MELO DA BARI,657133.224,4553816.781
"{""type"":""Point"",""coordinates"":[657096.139,4554177.286]}",4554177.286,657096.139,298,1,03/03/2017,dissesto marciapiede,caduta pedone,78,700021231,VIA MELO DA BARI,657096.139,4554177.286
"{""type"":""Point"",""coordinates"":[657131.188,4553683.426]}",4553683.426,657131.188,299,1,16/02/2017,altro - lavori,caduta pedone,229,700021231,VIA MELO DA BARI,657131.188,4553683.426
"{""type"":""Point"",""coordinates"":[657623.301,4553376.069]}",4553376.069,657623.301,300,2,26/04/2017,dissesto marciapiede,caduta pedone,,700021374,VIA MICHELE DE NAPOLI,657623.301,4553376.069
"{""type"":""Point"",""coordinates"":[656733.948,4553817.303]}",4553817.303,656733.948,301,1,21/04/2017,dissesto marciapiede,caduta pedone,1/A,720010629,VIA MICHELE GARRUBA,656733.948,4553817.303
"{""type"":""Point"",""coordinates"":[656197.879,4553762.882]}",4553762.882,656197.879,302,1,31/08/2017,dissesto marciapiede,caduta pedone,191,720010629,VIA MICHELE GARRUBA,656197.879,4553762.882
"{""type"":""Point"",""coordinates"":[657199.819,4548273.415]}",4548273.415,657199.819,303,1,06/06/2017,tombino,caduta pedone,219/A,700022321,VIA MICHELE GARRUBA,657199.819,4548273.415
"{""type"":""Point"",""coordinates"":[655547.892,4554275.518]}",4554275.518,655547.892,304,1,15/05/2017,dissesto manto stradale,caduta con velocipede,,700022254,VIA MICHELE MIRENGHI,655547.892,4554275.518
"{""type"":""Point"",""coordinates"":[655573.505,4554179.567]}",4554179.567,655573.505,305,1,25/03/2017,dissesto manto stradale,caduta pedone,37,700022254,VIA MICHELE MIRENGHI,655573.505,4554179.567
"{""type"":""Point"",""coordinates"":[656183.271,4550594.25]}",4550594.25,656183.271,307,2,22/02/2017,dissesto manto stradale,danni auto,,700021990,VIA MICHELE MITOLO,656183.271,4550594.25
"{""type"":""Point"",""coordinates"":[656740.373,4551401.71]}",4551401.71,656740.373,308,2,27/06/2017,altro - giostra,altro - danni fisici,,700022092,VIALE MOHANDAS GANDHI,656740.373,4551401.71
"{""type"":""Point"",""coordinates"":[657218.561,4548869.515]}",4548869.515,657218.561,309,4,18/03/2017,tombino,caduta pedone,48,700021409,VIA MONCALIERI,657218.561,4548869.515
"{""type"":""Point"",""coordinates"":[655631.285,4553915.515]}",4553915.515,655631.285,310,1,00/00/0000,altro - infiltrazioni acqua,danni immobiliari,43/A,700022014,VIA MONSIGNOR FRANCESCO NITTI,655631.285,4553915.515
"{""type"":""Point"",""coordinates"":[656676.861,4547493.535]}",4547493.535,656676.861,311,2,05/06/2017,altro - albero,danni auto,,700021622,VIA MONTE S. MICHELE,656676.861,4547493.535
"{""type"":""Point"",""coordinates"":[656687.417,4547440.781]}",4547440.781,656687.417,312,1,04/03/2017,dissesto manto stradale,caduta pedone,,700021666,VIA MONTE GRAPPA,656687.417,4547440.781
"{""type"":""Point"",""coordinates"":[670688.703,4549706.355]}",4549706.355,670688.703,314,1,01/07/2017,dissesto marciapiede,caduta pedone,,720010668,VIA MORELLI E SILVATI,670688.703,4549706.355
"{""type"":""Point"",""coordinates"":[668542.309,4550133.51]}",4550133.51,668542.309,315,1,30/09/2017,ostacolo - cordolo,danni auto,18,720010668,VIA MORELLI E SILVATI,668542.309,4550133.51
"{""type"":""Point"",""coordinates"":[657385.064,4548448.661]}",4548448.661,657385.064,316,3,18/01/2017,dissesto manto stradale,danni auto,,700021784,VIA NAPOLI,657385.064,4548448.661
"{""type"":""Point"",""coordinates"":[657385.064,4548448.661]}",4548448.661,657385.064,317,5,08/06/2017,dissesto manto stradale,danni auto,,700021784,VIA NAPOLI,657385.064,4548448.661
"{""type"":""Point"",""coordinates"":[655588.199,4554517.415]}",4554517.415,655588.199,318,1,15/02/2017,tombino,caduta pedone,252,720010385,VIA NAPOLI,655588.199,4554517.415
"{""type"":""Point"",""coordinates"":[654936.432,4554526.23]}",4554526.23,654936.432,319,1,02/03/2017,altro - lavori,caduta con ciclomotore,316,720010385,VIA NAPOLI,654936.432,4554526.23
"{""type"":""Point"",""coordinates"":[651224.533,4555956.43]}",4555956.43,651224.533,320,5,26/03/2017,dissesto manto stradale,danni auto,378/E,720010385,VIA NAPOLI,651224.533,4555956.43
"{""type"":""Point"",""coordinates"":[656125.004,4554497.498]}",4554497.498,656125.004,321,5,21/07/2017,dissesto marciapiede,caduta pedone,114,720010385,VIA NAPOLI,656125.004,4554497.498
"{""type"":""Point"",""coordinates"":[656019.607,4554501.998]}",4554501.998,656019.607,322,5,17/06/2017,dissesto marciapiede,caduta pedone,152,720010385,VIA NAPOLI,656019.607,4554501.998
"{""type"":""Point"",""coordinates"":[656431.902,4554499.278]}",4554499.278,656431.902,323,1,20/09/2017,dissesto manto stradale,caduta pedone,157/D,720010385,VIA NAPOLI,656431.902,4554499.278
"{""type"":""Point"",""coordinates"":[656284.951,4554491.792]}",4554491.792,656284.951,324,5,06/07/2017,altro - palo,caduta pedone,52,720010385,VIA NAPOLI,656284.951,4554491.792
"{""type"":""Point"",""coordinates"":[656198.583,4554451.952]}",4554451.952,656198.583,325,1,05/06/2017,dissesto manto stradale,caduta pedone,7/A,700021610,VIA NICCOLO' PIZZOLI,656198.583,4554451.952
"{""type"":""Point"",""coordinates"":[656196.026,4554477.822]}",4554477.822,656196.026,326,1,21/09/2017,dissesto marciapiede,caduta pedone,19,700021610,VIA NICCOLO' PIZZOLI,656196.026,4554477.822
"{""type"":""Point"",""coordinates"":[655610.807,4551148.428]}",4551148.428,655610.807,327,2,12/05/2017,tombino,caduta pedone,,700022834,VIA NICOLA ANGELINI,655610.807,4551148.428
"{""type"":""Point"",""coordinates"":[656117.233,4553592.15]}",4553592.15,656117.233,328,1,08/07/2017,dissesto manto stradale,caduta pedone,30,700022246,VIA NICOLA BAVARO,656117.233,4553592.15
"{""type"":""Point"",""coordinates"":[657224.138,4549071.32]}",4549071.32,657224.138,329,4,21/06/2017,dissesto marciapiede,caduta pedone,8,700022165,VIA NICOLA COLONNA,657224.138,4549071.32
"{""type"":""Point"",""coordinates"":[657316.473,4553854.63]}",4553854.63,657316.473,330,1,27/01/2017,dissesto manto stradale,caduta pedone,70,700022339,VIA NICOLA DE GIOSA,657316.473,4553854.63
"{""type"":""Point"",""coordinates"":[657315.757,4553861.559]}",4553861.559,657315.757,331,1,18/02/2017,dissesto manto stradale,caduta pedone,66,700022339,VIA NICOLA DE GIOSA,657315.757,4553861.559
"{""type"":""Point"",""coordinates"":[657254.874,4552785.262]}",4552785.262,657254.874,332,2,07/03/2017,dissesto manto stradale,caduta pedone,5,700022724,VIA NICOLA FORNELLI,657254.874,4552785.262
"{""type"":""Point"",""coordinates"":[657055.21,4553684.289]}",4553684.289,657055.21,333,1,23/01/2017,dissesto manto stradale,caduta con velocipide,,700021759,VIA NICCOLO' DALL'ARCA,657055.21,4553684.289
"{""type"":""Point"",""coordinates"":[657055.21,4553684.289]}",4553684.289,657055.21,334,1,07/10/2017,dissesto manto stradale,caduta pedone,,700021759,VIA NICCOLO' DALL'ARCA,657055.21,4553684.289
"{""type"":""Point"",""coordinates"":[657055.21,4553684.289]}",4553684.289,657055.21,335,1,25/08/2017,dissesto marciapiede,caduta pedone,25,700021759,VIA NICCOLO' DALL'ARCA,657055.21,4553684.289
"{""type"":""Point"",""coordinates"":[653303.446,4555564.039]}",4555564.039,653303.446,337,3,15/07/2017,altro - olio,caduta con ciclomotore,,700021608,VIA NICOLO' VAN WESTERHOUT,653303.446,4555564.039
"{""type"":""Point"",""coordinates"":[657486.278,4553213.109]}",4553213.109,657486.278,338,2,05/02/2017,dissesto manto stradale,caduta pedone,26,700022078,VIA NIZZA,657486.278,4553213.109
"{""type"":""Point"",""coordinates"":[662922.313,4551735.804]}",4551735.804,662922.313,339,1,04/07/2017,dissesto manto stradale,danni auto,,722052676,VIA OLANDA,662922.313,4551735.804
"{""type"":""Point"",""coordinates"":[656372.096,4552451.18]}",4552451.18,656372.096,340,2,21/03/2017,dissesto manto stradale,caduta pedone,2,700021513,VIA ORAZIO COMES,656372.096,4552451.18
"{""type"":""Point"",""coordinates"":[656274.743,4549054.26]}",4549054.26,656274.743,341,4,05/06/2017,dissesto manto stradale,caduta pedone,,720012091,VIA OSPEDALE DI VENERE,656274.743,4549054.26
"{""type"":""Point"",""coordinates"":[657076.704,4548739.226]}",4548739.226,657076.704,342,4,05/05/2017,dissesto marciapiede,caduta pedone,105,720012091,VIA OSPEDALE DI VENERE,657076.704,4548739.226
"{""type"":""Point"",""coordinates"":[657076.704,4548739.226]}",4548739.226,657076.704,343,4,03/02/2017,dissesto marciapiede,caduta pedone,81/D,720012091,VIA OSPEDALE DI VENERE,657076.704,4548739.226
"{""type"":""Point"",""coordinates"":[653086.372,4555307.96]}",4555307.96,653086.372,344,3,31/03/2017,dissesto manto stradale,danni auto,,720010466,VIALE OTTORINO RESPIGHI,653086.372,4555307.96
"{""type"":""Point"",""coordinates"":[653086.372,4555307.96]}",4555307.96,653086.372,345,3,31/08/2017,tombino,caduta pedone,,720010466,VIALE OTTORINO RESPIGHI,653086.372,4555307.96
"{""type"":""Point"",""coordinates"":[653583.874,4555112.805]}",4555112.805,653583.874,346,0,01/04/2017,dissesto manto stradale,danni auto,8,720010466,VIALE OTTORINO RESPIGHI,653583.874,4555112.805
"{""type"":""Point"",""coordinates"":[650980.931,4554283.64]}",4554283.64,650980.931,347,3,14/06/2017,dissesto marciapiede,caduta pedone,,700021306,VIA PACIFICO MAZZONI,650980.931,4554283.64
"{""type"":""Point"",""coordinates"":[650980.931,4554283.64]}",4554283.64,650980.931,348,3,09/06/2017,dissesto marciapiede,caduta pedone,13/A,700021306,VIA PACIFICO MAZZONI,650980.931,4554283.64
"{""type"":""Point"",""coordinates"":[660152.225,4552339.44]}",4552339.44,660152.225,349,1,14/03/2017,dissesto marciapiede,caduta pedone,26/A,700022279,VIA PANTALEO CARABELLESE,660152.225,4552339.44
"{""type"":""Point"",""coordinates"":[656880.603,4553045.215]}",4553045.215,656880.603,350,2,17/07/2017,dissesto marciapiede,caduta pedone,,720012119,VIA PAOLO LEMBO,656880.603,4553045.215
"{""type"":""Point"",""coordinates"":[654302.601,4555656.635]}",4555656.635,654302.601,351,3,18/08/2017,dissesto manto stradale,caduta pedone,,720012290,VIA PAOLO PINTO,654302.601,4555656.635
"{""type"":""Point"",""coordinates"":[656215.953,4552346.41]}",4552346.41,656215.953,352,2,18/05/2017,dissesto marciapiede,caduta pedone,,700021191,VIALE PAPA GIOVANNI XXIII,656215.953,4552346.41
"{""type"":""Point"",""coordinates"":[656215.953,4552346.41]}",4552346.41,656215.953,353,2,04/07/2017,dissesto marciapiede,caduta pedone,,700021191,VIALE PAPA GIOVANNI XXIII,656215.953,4552346.41
"{""type"":""Point"",""coordinates"":[657151.728,4552346.889]}",4552346.889,657151.728,354,2,22/05/2017,dissesto manto stradale,caduta pedone,179,700021191,VIALE PAPA GIOVANNI XXIII,657151.728,4552346.889
"{""type"":""Point"",""coordinates"":[656155.338,4551724.8]}",4551724.8,656155.338,355,2,10/04/2017,dissesto marciapiede,caduta pedone,,720011656,VIALE PAPA PIO XII,656155.338,4551724.8
"{""type"":""Point"",""coordinates"":[656126.934,4551745.48]}",4551745.48,656126.934,356,2,19/05/2017,dissesto marciapiede,caduta pedone,59,720011656,VIALE PAPA PIO XII,656126.934,4551745.48
"{""type"":""Point"",""coordinates"":[656155.338,4551724.8]}",4551724.8,656155.338,357,1,13/04/2017,dissesto marciapiede,caduta pedone,60,720011656,VIALE PAPA PIO XII,656155.338,4551724.8
"{""type"":""Point"",""coordinates"":[656751.694,4551989.56]}",4551989.56,656751.694,358,2,10/04/2017,dissesto marciapiede,caduta pedone,6,700022134,VIA PAPA URBANO VI,656751.694,4551989.56
"{""type"":""Point"",""coordinates"":[656619.574,4552717.42]}",4552717.42,656619.574,359,2,10/04/2017,dissesto marciapiede,caduta pedone,,700022389,VIA PASUBIO,656619.574,4552717.42
"{""type"":""Point"",""coordinates"":[657044.531,4552654.126]}",4552654.126,657044.531,360,2,28/05/2017,dissesto marciapiede,caduta pedone,90,700022389,VIA PASUBIO,657044.531,4552654.126
"{""type"":""Point"",""coordinates"":[658300.914,4553304.1]}",4553304.1,658300.914,361,1,16/07/2017,altro - albero,danni auto,,720012140,VIA PEUCETIA,658300.914,4553304.1
"{""type"":""Point"",""coordinates"":[658300.914,4553304.1]}",4553304.1,658300.914,362,1,13/09/2017,dissesto marciapiede,caduta pedone,,720012140,VIA PEUCETIA,658300.914,4553304.1
"{""type"":""Point"",""coordinates"":[658300.914,4553304.1]}",4553304.1,658300.914,363,1,05/09/2017,dissesto marciapiede,caduta pedone,,720012140,VIA PEUCETIA,658300.914,4553304.1
"{""type"":""Point"",""coordinates"":[659277.665,4552766.144]}",4552766.144,659277.665,364,1,19/07/2017,dissesto marciapiede,caduta pedone,6/C,720012140,VIA PEUCETIA,659277.665,4552766.144
"{""type"":""Point"",""coordinates"":[656869.235,4548745.855]}",4548745.855,656869.235,365,2,08/08/2017,dissesto manto stradale,caduta pedone,,700022526,VIA PIAVE,656869.235,4548745.855
"{""type"":""Point"",""coordinates"":[655339.416,4544732.649]}",4544732.649,655339.416,366,4,03/04/2017,dissesto manto stradale,danni auto,31,700021180,VIA PIAVE,655339.416,4544732.649
"{""type"":""Point"",""coordinates"":[650403.919,4553406.064]}",4553406.064,650403.919,367,3,03/03/2017,dissesto manto stradale,caduta pedone,60,700021387,VIA PIEMONTE,650403.919,4553406.064
"{""type"":""Point"",""coordinates"":[655736.958,4553058.236]}",4553058.236,655736.958,368,2,24/04/2017,dissesto manto stradale,danni auto,24,700022447,VIA PIETRO COLLETTA,655736.958,4553058.236
"{""type"":""Point"",""coordinates"":[658389.532,4552535.756]}",4552535.756,658389.532,369,5,07/06/2017,dissesto manto stradale,caduta pedone,10,700022903,VIA PIETRO GIANNONE,658389.532,4552535.756
"{""type"":""Point"",""coordinates"":[656080.497,4553536.136]}",4553536.136,656080.497,370,1,02/03/2017,dissesto marciapiede,caduta pedone,,720010317,VIA PIETRO RAVANAS,656080.497,4553536.136
"{""type"":""Point"",""coordinates"":[656008.16,4554221.109]}",4554221.109,656008.16,371,1,12/08/2017,tombino,caduta pedone,105,720010317,VIA PIETRO RAVANAS,656008.16,4554221.109
"{""type"":""Point"",""coordinates"":[656008.853,4554212.915]}",4554212.915,656008.853,372,1,22/01/2017,dissesto marciapiede,caduta pedone,109,720010317,VIA PIETRO RAVANAS,656008.853,4554212.915
"{""type"":""Point"",""coordinates"":[658532.412,4551671.55]}",4551671.55,658532.412,373,2,04/04/2017,dissesto manto stradale,caduta pedone,,700022019,VIA PIETRO SETTE,658532.412,4551671.55
"{""type"":""Point"",""coordinates"":[657019.652,4548703.092]}",4548703.092,657019.652,374,3,22/03/2017,dissesto marciapiede,caduta pedone,,700022050,VIA POLA,657019.652,4548703.092
"{""type"":""Point"",""coordinates"":[657019.652,4548703.092]}",4548703.092,657019.652,375,3,27/01/2017,dissesto marciapiede,caduta pedone,,700022050,VIA POLA,657019.652,4548703.092
"{""type"":""Point"",""coordinates"":[657123.138,4548954.475]}",4548954.475,657123.138,376,4,18/01/2017,tombino,altro - danni immobiliari,1,700021329,VIA PONTE,657123.138,4548954.475
"{""type"":""Point"",""coordinates"":[656877.518,4547486.541]}",4547486.541,656877.518,377,1,19/01/2017,dissesto manto stradale,caduta pedone,,720011672,VIA PRINCIPE AMEDEO,656877.518,4547486.541
"{""type"":""Point"",""coordinates"":[656877.518,4547486.541]}",4547486.541,656877.518,378,1,24/03/2017,dissesto manto stradale,caduta pedone,,720011672,VIA PRINCIPE AMEDEO,656877.518,4547486.541
"{""type"":""Point"",""coordinates"":[656877.518,4547486.541]}",4547486.541,656877.518,379,1,13/08/2017,dissesto manto stradale,caduta pedone,,720011672,VIA PRINCIPE AMEDEO,656877.518,4547486.541
"{""type"":""Point"",""coordinates"":[656877.518,4547486.541]}",4547486.541,656877.518,380,1,14/03/2017,tombino,caduta pedone,,720011672,VIA PRINCIPE AMEDEO,656877.518,4547486.541
"{""type"":""Point"",""coordinates"":[656877.518,4547486.541]}",4547486.541,656877.518,381,1,07/10/2017,dissesto manto stradale,caduta con velocipede,,720011672,VIA PRINCIPE AMEDEO,656877.518,4547486.541
"{""type"":""Point"",""coordinates"":[656102.456,4553966.6]}",4553966.6,656102.456,382,1,01/07/2017,dissesto marciapiede,caduta pedone,356,700021131,VIA PRINCIPE AMEDEO,656102.456,4553966.6
"{""type"":""Point"",""coordinates"":[655982.18,4553970.558]}",4553970.558,655982.18,383,1,29/09/2017,dissesto marciapiede,caduta pedone,393,700021131,VIA PRINCIPE AMEDEO,655982.18,4553970.558
"{""type"":""Point"",""coordinates"":[648024.028,4556889.914]}",4556889.914,648024.028,384,4,07/01/2017,altro - ghiaccio,caduta pedone,6,700022270,VIA PRINCIPE UMBERTO,648024.028,4556889.914
"{""type"":""Point"",""coordinates"":[657068.025,4553763.68]}",4553763.68,657068.025,385,1,06/03/2017,dissesto marciapiede,caduta pedone,,700021924,VIA PROSPERO PETRONI,657068.025,4553763.68
"{""type"":""Point"",""coordinates"":[657661.805,4552870.985]}",4552870.985,657661.805,386,2,11/02/2017,dissesto marciapiede,caduta pedone,10,700021077,VIA QUARTO,657661.805,4552870.985
"{""type"":""Point"",""coordinates"":[656556.994,4553587.942]}",4553587.942,656556.994,387,1,15/05/2017,dissesto manto stradale,caduta pedone,,700021027,VIA QUINTINO SELLA,656556.994,4553587.942
"{""type"":""Point"",""coordinates"":[656556.994,4553587.942]}",4553587.942,656556.994,388,1,03/07/2017,dissesto marciapiede,caduta pedone,,700021027,VIA QUINTINO SELLA,656556.994,4553587.942
"{""type"":""Point"",""coordinates"":[653327.226,4554510.115]}",4554510.115,653327.226,389,3,24/07/2017,tombino,caduta con motociclo,,722052483,VIA RENATO SCIONTI,653327.226,4554510.115
"{""type"":""Point"",""coordinates"":[651243.626,4554549.15]}",4554549.15,651243.626,390,3,12/06/2017,ostacolo - cordolo,danni auto,16/B,720011244,VIA RICCARDO CIUSA,651243.626,4554549.15
"{""type"":""Point"",""coordinates"":[651375.521,4554352.73]}",4554352.73,651375.521,391,3,24/01/2017,dissesto manto stradale,caduta pedone,20,720011244,VIA RICCARDO CIUSA,651375.521,4554352.73
"{""type"":""Point"",""coordinates"":[655882.76,4548533.68]}",4548533.68,655882.76,392,4,24/04/2017,altro - giostra,altro - danni fisici,,720011163,VIA ROCCO DICILLO,655882.76,4548533.68
"{""type"":""Point"",""coordinates"":[655882.76,4548533.68]}",4548533.68,655882.76,393,4,10/07/2017,dissesto manto stradale,caduta pedone,,720011163,VIA ROCCO DICILLO,655882.76,4548533.68
"{""type"":""Point"",""coordinates"":[656783.31,4552091.63]}",4552091.63,656783.31,394,2,14/09/2017,dissesto manto stradale,caduta pedone,8,700022910,VIA ROSARIO BERARDI,656783.31,4552091.63
"{""type"":""Point"",""coordinates"":[652438.999,4555688.628]}",4555688.628,652438.999,396,3,06/02/2017,dissesto marciapiede,caduta pedone,,720010463,VIA RUGGIERO LEONCAVALLO,652438.999,4555688.628
"{""type"":""Point"",""coordinates"":[657116.03,4552383.491]}",4552383.491,657116.03,397,2,04/05/2017,dissesto marciapiede,caduta pedone,16,700021365,VIA SABOTINO,657116.03,4552383.491
"{""type"":""Point"",""coordinates"":[659047.565,4552602.028]}",4552602.028,659047.565,398,1,15/02/2017,dissesto marciapiede,caduta pedone,,700021420,VIA SALAPIA,659047.565,4552602.028
"{""type"":""Point"",""coordinates"":[659047.565,4552602.028]}",4552602.028,659047.565,399,1,15/03/2017,dissesto manto stradale,caduta pedone,,700021420,VIA SALAPIA,659047.565,4552602.028
"{""type"":""Point"",""coordinates"":[657459.028,4554152.596]}",4554152.596,657459.028,400,1,11/04/2017,tombino,caduta pedone,,700021758,VIA SALVATORE COGNETTI,657459.028,4554152.596
"{""type"":""Point"",""coordinates"":[661298.217,4552369.16]}",4552369.16,661298.217,401,1,09/02/2017,tombino,danni auto,,720012030,VIA SALVATORE QUASIMODO,661298.217,4552369.16
"{""type"":""Point"",""coordinates"":[652561.986,4551155.72]}",4551155.72,652561.986,402,2,02/05/2017,dissesto manto stradale,danni auto,,720010763,STRADA SAN GIORGIO MARTIRE O SAN SERIO,652561.986,4551155.72
"{""type"":""Point"",""coordinates"":[652561.986,4551155.72]}",4551155.72,652561.986,403,2,02/05/2017,dissesto manto stradale,lesioni personali,,720010763,STRADA SAN GIORGIO MARTIRE O SAN SERIO,652561.986,4551155.72
"{""type"":""Point"",""coordinates"":[652561.986,4551155.72]}",4551155.72,652561.986,404,3,11/04/2017,dissesto manto stradale,danni auto,,720010763,STRADA SAN GIORGIO MARTIRE O SAN SERIO,652561.986,4551155.72
"{""type"":""Point"",""coordinates"":[652561.986,4551155.72]}",4551155.72,652561.986,405,2,23/02/2017,tombino,caduta con motociclo,,720010763,STRADA SAN GIORGIO MARTIRE O SAN SERIO,652561.986,4551155.72
"{""type"":""Point"",""coordinates"":[652561.986,4551155.72]}",4551155.72,652561.986,406,3,12/09/2017,dissesto manto stradale,danni auto,,720010763,STRADA SAN GIORGIO MARTIRE O SAN SERIO,652561.986,4551155.72
"{""type"":""Point"",""coordinates"":[657089.899,4547929.85]}",4547929.85,657089.899,408,4,25/07/2017,dissesto manto stradale,caduta con motociclo,6,700022329,VIA SAN VITTORE,657089.899,4547929.85
"{""type"":""Point"",""coordinates"":[646585.447,4558700.987]}",4558700.987,646585.447,409,5,29/06/2017,dissesto manto stradale,caduta pedone,97,700021285,VIA SAVONA,646585.447,4558700.987
"{""type"":""Point"",""coordinates"":[655780.836,4553616.788]}",4553616.788,655780.836,411,1,16/02/2017,dissesto marciapiede,caduta pedone,,720010628,VIA SCIPIONE CRISANZIO,655780.836,4553616.788
"{""type"":""Point"",""coordinates"":[656306.302,4553678.47]}",4553678.47,656306.302,412,1,21/07/2017,dissesto manto stradale,caduta pedone,134,720010628,VIA SCIPIONE CRISANZIO,656306.302,4553678.47
"{""type"":""Point"",""coordinates"":[656593.471,4553705.994]}",4553705.994,656593.471,413,1,24/09/2017,dissesto marciapiede,caduta pedone,60,720010628,VIA SCIPIONE CRISANZIO,656593.471,4553705.994
"{""type"":""Point"",""coordinates"":[651239.185,4553901.52]}",4553901.52,651239.185,414,3,05/04/2017,dissesto marciapiede,caduta pedone,,700022154,VIA SICILIA,651239.185,4553901.52
"{""type"":""Point"",""coordinates"":[658996.324,4552902.57]}",4552902.57,658996.324,415,1,08/01/2017,dissesto manto stradale,caduta pedone,,700022394,VIA SIPONTO,658996.324,4552902.57
"{""type"":""Point"",""coordinates"":[656992.472,4553677.601]}",4553677.601,656992.472,416,1,18/02/2017,altro - recinzione,altro - danno indumenti,,700021390,VIA SPARANO DA BARI,656992.472,4553677.601
"{""type"":""Point"",""coordinates"":[656992.472,4553677.601]}",4553677.601,656992.472,417,1,27/03/2017,dissesto marciapiede,caduta pedone,,700021390,VIA SPARANO DA BARI,656992.472,4553677.601
"{""type"":""Point"",""coordinates"":[656992.472,4553677.601]}",4553677.601,656992.472,418,0,14/03/2017,altro - lavori,altro,,700021390,VIA SPARANO DA BARI,656992.472,4553677.601
"{""type"":""Point"",""coordinates"":[656992.472,4553677.601]}",4553677.601,656992.472,419,1,05/02/2017,dissesto manto stradale,caduta pedone,,700021390,VIA SPARANO DA BARI,656992.472,4553677.601
"{""type"":""Point"",""coordinates"":[656992.472,4553677.601]}",4553677.601,656992.472,420,1,07/05/2017,dissesto manto stradale,caduta pedone,,700021390,VIA SPARANO DA BARI,656992.472,4553677.601
"{""type"":""Point"",""coordinates"":[656992.472,4553677.601]}",4553677.601,656992.472,421,1,20/04/2017,dissesto manto stradale,caduta pedone,,700021390,VIA SPARANO DA BARI,656992.472,4553677.601
"{""type"":""Point"",""coordinates"":[656992.472,4553677.601]}",4553677.601,656992.472,422,1,13/06/2017,dissesto manto stradale,caduta pedone,,700021390,VIA SPARANO DA BARI,656992.472,4553677.601
"{""type"":""Point"",""coordinates"":[656992.472,4553677.601]}",4553677.601,656992.472,423,1,09/06/2017,dissesto marciapiede,caduta pedone,,700021390,VIA SPARANO DA BARI,656992.472,4553677.601
