Data incidente,Latitudine,Longitudine,Centro abitato,Tipo di strada,Caratteristiche della strada,Stato fondo stradale,Tipo pavimentazione,Condizioni meteo,Condizioni traffico,Danni a cose,Incidente con lesioni,Inviata ore,Sul posto ore
07/01/2023,41.12546,16.85949,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,si,10:30,10:40
07/01/2023,41.12164,16.86328,si,Strada Urbana,Intersezione semaforizzata,Asciutto,Asfaltata,Nuvoloso,Normale,no,no,10:26,10:45
07/01/2023,41.12462,16.87218,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Intenso,no,no,12:30,12:43
07/01/2023,41.12332,16.86875,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,si,13:15,13:30
07/01/2023,41.11438,16.85125,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,no,14:15,14:30
07/01/2023,41.1637,16.74921,si,Strada Urbana,Rettilineo,Bagnato (pioggia),Asfaltata,Nuvoloso,Normale,no,si,18:00,18:20
07/01/2023,41.12494,16.85965,si,Strada Urbana,Intersezione stradale segnalata,Asciutto,Asfaltata,Sereno,Intenso,no,no,18:40,18:50
07/01/2023,41.06609,16.86586,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,no,20:35,20:45
07/01/2023,41.12077,16.87164,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,no,22:28,22:35
07/01/2023,41.08988,16.86304,no,Statale,Rettilineo,Bagnato (umidita' in atto),Asfaltata,Sereno,Normale,no,no,00:15,00:25
08/01/2023,41.12604,16.86702,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,no,no,10:35,10:38
08/01/2023,41.15054,16.7784,no,Altra strada,Curva a visuale libera,Asciutto,Asfaltata,Sereno,Scarso,no,si,15:45,15:55
08/01/2023,41.13388,16.78639,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,si,18:20,18:30
08/01/2023,41.1226,16.85593,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Scarso,no,no,18:25,18:35
08/01/2023,41.12501,16.86172,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,no,19:30,19:40
08/01/2023,41.1205,16.85407,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,no,21:30,21:40
09/01/2023,41.10572,16.82819,si,Strada Urbana,Rettilineo,Viscido da liquidi oleosi,Asfaltata,Nuvoloso,Scarso,no,si,09:50,10:00
09/01/2023,41.0894,16.87525,no,Statale,Rettilineo,Bagnato (pioggia),Asfaltata,Nuvoloso,Intenso,no,no,09:15,09:28
09/01/2023,41.07432,16.90314,si,Statale entro l'abitato,Rettilineo,Bagnato (umidita' in atto),Asfaltata,Nuvoloso,Intenso,no,no,09:40,09:50
09/01/2023,41.08745,16.83802,si,Provinciale entro l'abitato,Curva a visuale libera,Bagnato (pioggia),Asfaltata,Pioggia in atto,Scarso,no,no,11:50,12:10
09/01/2023,41.10735,16.88535,si,Strada Urbana,Incrocio,Bagnato (pioggia),Asfaltata,Pioggia in atto,Normale,no,si,13:15,13:25
09/01/2023,41.08645,16.89383,no,Statale,Curva a visuale libera,Bagnato (pioggia),Asfaltata,Pioggia in atto,Normale,si,no,14:20,14:30
09/01/2023,41.09924,16.90906,no,Statale,Curva senza visuale libera,Asciutto,Asfaltata,Sole radente,Intenso,si,no,15:55,16:00
09/01/2023,41.11431,16.83324,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,no,16:00,16:15
09/01/2023,41.12308,16.80288,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,no,19:00,19:15
09/01/2023,41.15446,16.77128,si,Strada Urbana,Rettilineo,Bagnato (umidita' in atto),Asfaltata,Nuvoloso,Normale,no,si,20:30,20:40
09/01/2023,41.09626,16.89977,no,Statale,Curva a visuale libera,Bagnato (umidita' in atto),Asfaltata,Sereno,Normale,no,si,22:35,22:45
10/01/2023,41.15166,16.77105,no,Statale,Curva senza visuale libera,Bagnato (pioggia),Asfaltata,Pioggia in atto,Normale,no,si,11:50,12:05
10/01/2023,41.123059,16.8546889,si,Strada Urbana,Incrocio,Bagnato (pioggia),Asfaltata,Nuvoloso,Normale,no,no,11:15,11:22
10/01/2023,41.10793,16.88605,si,Strada Urbana,Cavalcavia,Bagnato (pioggia),Asfaltata,Nuvoloso,Normale,no,no,14:20,14:25
10/01/2023,41.12826,16.85795,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Vento forte,Normale,no,no,15:15,15:30
10/01/2023,41.08561,16.84882,si,Strada Urbana,Curva a visuale libera,Bagnato (pioggia),Asfaltata,Nuvoloso,Scarso,no,no,15:50,16:00
10/01/2023,41.10755436,16.88538979,si,Strada Urbana,Rettilineo,Bagnato (pioggia),Asfaltata,Vento forte,Normale,no,no,15:55,16:10
10/01/2023,41.11009,16.86788,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,no,18:00,18:10
11/01/2023,41.1216384,16.8632804,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Nuvoloso,Scarso,no,no,04:30,04:45
11/01/2023,41.11725,16.87319,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Scarso,no,si,05:10,05:15
11/01/2023,41.10082583,16.85669424,si,Strada Urbana,Incrocio,Asciutto,Asfaltata,Nuvoloso,Normale,no,si,08:20,08:30
11/01/2023,41.1003034,16.8750968,si,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,si,10:10,10:15
